#timestamp imgname x y z qx qy qz qw
1783518563.624737 pano/1783518563.624737.jpg 3323287.427846 5580917.481488 168.578918 0.539840 -0.475107 0.521073 -0.459706
1783518564.524176 pano/1783518564.524176.jpg 3323287.908986 5580916.707137 168.675320 0.525847 -0.458244 0.544208 -0.466192
1783518565.923297 pano/1783518565.923297.jpg 3323288.525167 5580915.662022 168.812504 -0.557444 0.417177 -0.465267 0.546576
1783518567.222484 pano/1783518567.222484.jpg 3323289.418440 5580914.557523 168.873163 -0.612495 0.343799 -0.453006 0.549033
1783518568.221861 pano/1783518568.221861.jpg 3323290.330889 5580914.100822 168.853750 0.486311 -0.506888 0.564232 -0.433831
1783518570.220609 pano/1783518570.220609.jpg 3323290.970782 5580913.208137 168.781230 0.380413 -0.576278 0.646084 -0.325215
1783518571.219985 pano/1783518571.219985.jpg 3323290.886516 5580912.700109 168.814508 0.219207 -0.643090 0.707889 -0.193072
1783518572.419233 pano/1783518572.419233.jpg 3323290.336909 5580912.273721 168.967067 -0.200414 0.711380 -0.644250 0.196760
1783518574.417984 pano/1783518574.417984.jpg 3323289.295596 5580911.453240 168.815314 -0.385350 0.653055 -0.562671 0.329282
1783518575.817111 pano/1783518575.817111.jpg 3323288.815634 5580910.592245 168.631954 -0.306014 0.643866 -0.632368 0.303154
1783518577.216236 pano/1783518577.216236.jpg 3323288.260259 5580909.437372 168.816799 -0.456399 0.559200 -0.558830 0.408294
1783518579.115051 pano/1783518579.115051.jpg 3323287.055016 5580908.183621 168.800313 0.344929 -0.601005 0.637049 -0.337619
1783518580.414235 pano/1783518580.414235.jpg 3323286.641749 5580907.000025 168.757829 -0.487995 0.523350 -0.513012 0.474115
1783518582.113174 pano/1783518582.113174.jpg 3323286.419891 5580905.782669 168.747927 -0.261855 0.647387 -0.643819 0.312760
1783518583.112548 pano/1783518583.112548.jpg 3323285.881184 5580905.133351 168.706858 -0.353746 0.620254 -0.599840 0.361027
1783518584.911424 pano/1783518584.911424.jpg 3323286.071404 5580903.737973 168.703904 -0.552833 0.431585 -0.426907 0.570842
1783518585.810863 pano/1783518585.810863.jpg 3323286.156554 5580902.969822 168.710737 -0.540117 0.429690 -0.434082 0.578976
1783518587.309925 pano/1783518587.309925.jpg 3323286.469109 5580901.419841 168.687120 -0.562560 0.468216 -0.383165 0.563457
1783518588.009487 pano/1783518588.009487.jpg 3323286.888671 5580900.931741 168.775626 -0.617200 0.346594 -0.315664 0.631897
1783518589.308675 pano/1783518589.308675.jpg 3323287.374761 5580899.952200 168.851136 -0.631747 0.377547 -0.378545 0.561300
1783518591.407363 pano/1783518591.407363.jpg 3323288.571871 5580898.505887 168.803131 -0.689362 0.236949 -0.134760 0.671174
1783518592.006989 pano/1783518592.006989.jpg 3323288.485947 5580897.911247 168.845063 -0.620368 0.381260 -0.270704 0.629685
1783518593.006365 pano/1783518593.006365.jpg 3323288.433285 5580897.059716 168.910658 -0.481860 0.543712 -0.502902 0.468272
1783518594.405489 pano/1783518594.405489.jpg 3323287.690035 5580896.930537 168.951722 0.115203 -0.694629 0.704824 -0.086271
1783518596.104430 pano/1783518596.104430.jpg 3323285.940814 5580897.468223 168.753273 0.001641 0.718662 -0.692107 0.067161
1783518597.103806 pano/1783518597.103806.jpg 3323284.896953 5580897.598032 168.792375 0.010128 0.714452 -0.699111 0.026460
1783518598.003241 pano/1783518598.003241.jpg 3323283.900854 5580897.597986 168.706973 -0.028162 0.725659 -0.686531 0.036062
1783518599.202493 pano/1783518599.202493.jpg 3323282.762175 5580897.099229 168.756652 -0.274769 0.670129 -0.614247 0.313257
1783518600.001994 pano/1783518600.001994.jpg 3323282.487665 5580896.461443 168.828701 -0.431825 0.599435 -0.502874 0.448690
1783518601.401120 pano/1783518601.401120.jpg 3323283.168983 5580895.249998 168.825420 -0.649633 0.230894 -0.240742 0.683160
1783518602.100682 pano/1783518602.100682.jpg 3323283.684611 5580894.746935 168.811154 -0.697870 0.188470 -0.216996 0.656025
1783518602.800245 pano/1783518602.800245.jpg 3323284.202320 5580894.239895 168.802402 -0.683151 0.135479 -0.157174 0.700176
1783518603.999496 pano/1783518603.999496.jpg 3323285.160751 5580893.480406 168.877063 -0.694823 0.129679 -0.178300 0.684554
1783518605.398621 pano/1783518605.398621.jpg 3323286.123663 5580892.865149 168.920132 -0.720801 -0.072533 0.000046 0.689337
1783518607.097561 pano/1783518607.097561.jpg 3323288.071503 5580893.218060 168.658752 -0.778078 0.023332 0.221917 0.587199
1783518609.396126 pano/1783518609.396126.jpg 3323290.573623 5580894.604940 169.022275 -0.643728 -0.226994 0.281527 0.674411
1783518611.394877 pano/1783518611.394877.jpg 3323292.474730 5580894.915914 169.148643 -0.692008 0.068450 -0.103435 0.711154
1783518611.894566 pano/1783518611.894566.jpg 3323292.944791 5580894.644658 169.188554 -0.693536 0.066771 -0.092163 0.711375
